,StateDesc,CityName,Category,Measure,Data_Value_Unit,DataValueTypeID,Data_Value,PopulationCount,Short_Question_Text
3405,Alabama,Hoover,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,AgeAdjPrv,2.1,81619.0,Chronic Kidney Disease
3406,Alabama,Hoover,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,2.2,81619.0,Chronic Kidney Disease
3499,Alabama,Hoover,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,10.4,81619.0,Mental Health
3500,Alabama,Hoover,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,10.4,81619.0,Mental Health
3590,Alabama,Hoover,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,9.2,81619.0,Physical Health
3591,Alabama,Hoover,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,9.4,81619.0,Physical Health
3652,Alabama,Hoover,Health Outcomes,Stroke among adults aged >=18 Years,%,AgeAdjPrv,2.2,81619.0,Stroke
3653,Alabama,Hoover,Health Outcomes,Stroke among adults aged >=18 Years,%,CrdPrv,2.2,81619.0,Stroke
3712,Alabama,Huntsville,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,AgeAdjPrv,15.1,180105.0,Health Insurance
3713,Alabama,Huntsville,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,15.1,180105.0,Health Insurance
3776,Alabama,Huntsville,Health Outcomes,Arthritis among adults aged >=18 Years,%,AgeAdjPrv,26.9,180105.0,Arthritis
3777,Alabama,Huntsville,Health Outcomes,Arthritis among adults aged >=18 Years,%,CrdPrv,27.5,180105.0,Arthritis
3846,Alabama,Huntsville,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,6.5,180105.0,Coronary Heart Disease
3910,Alabama,Huntsville,Health Outcomes,High blood pressure among adults aged >=18 Years,%,AgeAdjPrv,36.3,180105.0,High Blood Pressure
3911,Alabama,Huntsville,Health Outcomes,High blood pressure among adults aged >=18 Years,%,CrdPrv,36.8,180105.0,High Blood Pressure
3977,Alabama,Huntsville,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,66.9,180105.0,Taking BP Medication
3978,Alabama,Huntsville,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,79.0,180105.0,Taking BP Medication
4043,Alabama,Huntsville,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,6.4,180105.0,Cancer (except skin)
4044,Alabama,Huntsville,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,6.6,180105.0,Cancer (except skin)
4109,Alabama,Huntsville,Health Outcomes,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,9.8,180105.0,Current Asthma
4110,Alabama,Huntsville,Health Outcomes,Current asthma among adults aged >=18 Years,%,CrdPrv,9.8,180105.0,Current Asthma
4177,Alabama,Huntsville,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,6.2,180105.0,Coronary Heart Disease
4243,Alabama,Huntsville,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,72.8,180105.0,Annual Checkup
4244,Alabama,Huntsville,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,CrdPrv,73.3,180105.0,Annual Checkup
4310,Alabama,Huntsville,Prevention,Cholesterol screening among adults aged >=18 Years,%,AgeAdjPrv,77.5,180105.0,Cholesterol Screening
4311,Alabama,Huntsville,Prevention,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,76.8,180105.0,Cholesterol Screening
4441,Alabama,Huntsville,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,7.3,180105.0,COPD
4442,Alabama,Huntsville,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,7.6,180105.0,COPD
4767,Alabama,Huntsville,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,AgeAdjPrv,11.2,180105.0,Diabetes
4768,Alabama,Huntsville,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,CrdPrv,11.5,180105.0,Diabetes
4833,Alabama,Huntsville,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,AgeAdjPrv,34.6,180105.0,High Cholesterol
4834,Alabama,Huntsville,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,38.9,180105.0,High Cholesterol
4899,Alabama,Huntsville,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,AgeAdjPrv,2.7,180105.0,Chronic Kidney Disease
4900,Alabama,Huntsville,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,2.8,180105.0,Chronic Kidney Disease
5095,Alabama,Huntsville,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,13.4,180105.0,Mental Health
5096,Alabama,Huntsville,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,13.3,180105.0,Mental Health
5285,Alabama,Huntsville,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,13.2,180105.0,Physical Health
5286,Alabama,Huntsville,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,13.3,180105.0,Physical Health
5418,Alabama,Huntsville,Health Outcomes,Stroke among adults aged >=18 Years,%,AgeAdjPrv,3.3,180105.0,Stroke
5419,Alabama,Huntsville,Health Outcomes,Stroke among adults aged >=18 Years,%,CrdPrv,3.4,180105.0,Stroke
5548,Alabama,Mobile,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,AgeAdjPrv,17.2,195111.0,Health Insurance
5549,Alabama,Mobile,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,16.9,195111.0,Health Insurance
5628,Alabama,Mobile,Health Outcomes,Arthritis among adults aged >=18 Years,%,AgeAdjPrv,29.3,195111.0,Arthritis
5629,Alabama,Mobile,Health Outcomes,Arthritis among adults aged >=18 Years,%,CrdPrv,30.5,195111.0,Arthritis
5788,Alabama,Mobile,Health Outcomes,High blood pressure among adults aged >=18 Years,%,AgeAdjPrv,41.0,195111.0,High Blood Pressure
5789,Alabama,Mobile,Health Outcomes,High blood pressure among adults aged >=18 Years,%,CrdPrv,42.0,195111.0,High Blood Pressure
5870,Alabama,Mobile,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,66.8,195111.0,Taking BP Medication
5871,Alabama,Mobile,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,79.3,195111.0,Taking BP Medication
5950,Alabama,Mobile,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,6.2,195111.0,Cancer (except skin)
5951,Alabama,Mobile,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,6.5,195111.0,Cancer (except skin)
6030,Alabama,Mobile,Health Outcomes,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,10.8,195111.0,Current Asthma
6031,Alabama,Mobile,Health Outcomes,Current asthma among adults aged >=18 Years,%,CrdPrv,10.8,195111.0,Current Asthma
6110,Alabama,Mobile,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,7.2,195111.0,Coronary Heart Disease
6111,Alabama,Mobile,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,7.7,195111.0,Coronary Heart Disease
6190,Alabama,Mobile,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,73.0,195111.0,Annual Checkup
6191,Alabama,Mobile,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,CrdPrv,73.6,195111.0,Annual Checkup
6270,Alabama,Mobile,Prevention,Cholesterol screening among adults aged >=18 Years,%,AgeAdjPrv,75.9,195111.0,Cholesterol Screening
6271,Alabama,Mobile,Prevention,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,75.9,195111.0,Cholesterol Screening
6429,Alabama,Mobile,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,8.4,195111.0,COPD
6430,Alabama,Mobile,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,8.8,195111.0,COPD
6826,Alabama,Mobile,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,AgeAdjPrv,13.2,195111.0,Diabetes
6827,Alabama,Mobile,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,CrdPrv,13.8,195111.0,Diabetes
6906,Alabama,Mobile,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,AgeAdjPrv,35.1,195111.0,High Cholesterol
6907,Alabama,Mobile,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,39.9,195111.0,High Cholesterol
6986,Alabama,Mobile,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,AgeAdjPrv,3.1,195111.0,Chronic Kidney Disease
6987,Alabama,Mobile,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,3.2,195111.0,Chronic Kidney Disease
7224,Alabama,Mobile,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,15.0,195111.0,Mental Health
7225,Alabama,Mobile,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,14.9,195111.0,Mental Health
7460,Alabama,Mobile,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,15.3,195111.0,Physical Health
7461,Alabama,Mobile,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,15.6,195111.0,Physical Health
7620,Alabama,Mobile,Health Outcomes,Stroke among adults aged >=18 Years,%,AgeAdjPrv,4.1,195111.0,Stroke
7621,Alabama,Mobile,Health Outcomes,Stroke among adults aged >=18 Years,%,CrdPrv,4.4,195111.0,Stroke
7778,Alabama,Montgomery,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,AgeAdjPrv,17.5,205764.0,Health Insurance
7779,Alabama,Montgomery,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,17.4,205764.0,Health Insurance
7841,Alabama,Montgomery,Health Outcomes,Arthritis among adults aged >=18 Years,%,AgeAdjPrv,30.2,205764.0,Arthritis
7842,Alabama,Montgomery,Health Outcomes,Arthritis among adults aged >=18 Years,%,CrdPrv,29.8,205764.0,Arthritis
7968,Alabama,Montgomery,Health Outcomes,High blood pressure among adults aged >=18 Years,%,AgeAdjPrv,40.8,205764.0,High Blood Pressure
7969,Alabama,Montgomery,Health Outcomes,High blood pressure among adults aged >=18 Years,%,CrdPrv,40.3,205764.0,High Blood Pressure
8031,Alabama,Montgomery,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,68.4,205764.0,Taking BP Medication
8032,Alabama,Montgomery,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,78.9,205764.0,Taking BP Medication
8094,Alabama,Montgomery,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,6.2,205764.0,Cancer (except skin)
8095,Alabama,Montgomery,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,6.0,205764.0,Cancer (except skin)
8157,Alabama,Montgomery,Health Outcomes,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,10.9,205764.0,Current Asthma
8158,Alabama,Montgomery,Health Outcomes,Current asthma among adults aged >=18 Years,%,CrdPrv,11.0,205764.0,Current Asthma
8221,Alabama,Montgomery,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,6.8,205764.0,Coronary Heart Disease
8222,Alabama,Montgomery,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,6.7,205764.0,Coronary Heart Disease
8284,Alabama,Montgomery,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,74.2,205764.0,Annual Checkup
8285,Alabama,Montgomery,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,CrdPrv,74.0,205764.0,Annual Checkup
8349,Alabama,Montgomery,Prevention,Cholesterol screening among adults aged >=18 Years,%,AgeAdjPrv,77.0,205764.0,Cholesterol Screening
8350,Alabama,Montgomery,Prevention,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,75.9,205764.0,Cholesterol Screening
8474,Alabama,Montgomery,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,8.2,205764.0,COPD
8475,Alabama,Montgomery,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,8.2,205764.0,COPD
8788,Alabama,Montgomery,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,AgeAdjPrv,13.3,205764.0,Diabetes
8789,Alabama,Montgomery,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,CrdPrv,13.1,205764.0,Diabetes
8851,Alabama,Montgomery,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,AgeAdjPrv,34.1,205764.0,High Cholesterol
8852,Alabama,Montgomery,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,37.4,205764.0,High Cholesterol
8914,Alabama,Montgomery,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,AgeAdjPrv,3.1,205764.0,Chronic Kidney Disease
8915,Alabama,Montgomery,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,3.0,205764.0,Chronic Kidney Disease
9103,Alabama,Montgomery,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,14.8,205764.0,Mental Health
9104,Alabama,Montgomery,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,14.9,205764.0,Mental Health
9289,Alabama,Montgomery,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,15.5,205764.0,Physical Health
9290,Alabama,Montgomery,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,15.4,205764.0,Physical Health
9415,Alabama,Montgomery,Health Outcomes,Stroke among adults aged >=18 Years,%,AgeAdjPrv,4.2,205764.0,Stroke
9416,Alabama,Montgomery,Health Outcomes,Stroke among adults aged >=18 Years,%,CrdPrv,4.1,205764.0,Stroke
9541,Alabama,Tuscaloosa,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,AgeAdjPrv,17.1,90468.0,Health Insurance
9542,Alabama,Tuscaloosa,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,17.1,90468.0,Health Insurance
9582,Alabama,Tuscaloosa,Health Outcomes,Arthritis among adults aged >=18 Years,%,AgeAdjPrv,30.2,90468.0,Arthritis
9583,Alabama,Tuscaloosa,Health Outcomes,Arthritis among adults aged >=18 Years,%,CrdPrv,23.2,90468.0,Arthritis
9662,Alabama,Tuscaloosa,Health Outcomes,High blood pressure among adults aged >=18 Years,%,AgeAdjPrv,41.3,90468.0,High Blood Pressure
9663,Alabama,Tuscaloosa,Health Outcomes,High blood pressure among adults aged >=18 Years,%,CrdPrv,32.6,90468.0,High Blood Pressure
9702,Alabama,Tuscaloosa,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,67.6,90468.0,Taking BP Medication
9703,Alabama,Tuscaloosa,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,73.6,90468.0,Taking BP Medication
9743,Alabama,Tuscaloosa,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,6.1,90468.0,Cancer (except skin)
9744,Alabama,Tuscaloosa,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,4.6,90468.0,Cancer (except skin)
9782,Alabama,Tuscaloosa,Health Outcomes,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,10.6,90468.0,Current Asthma
9783,Alabama,Tuscaloosa,Health Outcomes,Current asthma among adults aged >=18 Years,%,CrdPrv,10.9,90468.0,Current Asthma
9822,Alabama,Tuscaloosa,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,7.1,90468.0,Coronary Heart Disease
9823,Alabama,Tuscaloosa,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,5.4,90468.0,Coronary Heart Disease
9862,Alabama,Tuscaloosa,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,74.6,90468.0,Annual Checkup
9863,Alabama,Tuscaloosa,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,CrdPrv,71.7,90468.0,Annual Checkup
9903,Alabama,Tuscaloosa,Prevention,Cholesterol screening among adults aged >=18 Years,%,AgeAdjPrv,75.7,90468.0,Cholesterol Screening
9904,Alabama,Tuscaloosa,Prevention,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,65.5,90468.0,Cholesterol Screening
9982,Alabama,Tuscaloosa,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,8.5,90468.0,COPD
9983,Alabama,Tuscaloosa,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,7.1,90468.0,COPD
10176,Alabama,Tuscaloosa,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,AgeAdjPrv,13.9,90468.0,Diabetes
10177,Alabama,Tuscaloosa,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,CrdPrv,10.3,90468.0,Diabetes
10217,Alabama,Tuscaloosa,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,AgeAdjPrv,36.2,90468.0,High Cholesterol
10218,Alabama,Tuscaloosa,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,35.0,90468.0,High Cholesterol
10257,Alabama,Tuscaloosa,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,AgeAdjPrv,3.2,90468.0,Chronic Kidney Disease
10258,Alabama,Tuscaloosa,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,2.5,90468.0,Chronic Kidney Disease
10375,Alabama,Tuscaloosa,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,15.5,90468.0,Mental Health
10376,Alabama,Tuscaloosa,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,16.1,90468.0,Mental Health
10492,Alabama,Tuscaloosa,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,15.5,90468.0,Physical Health
10493,Alabama,Tuscaloosa,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,13.2,90468.0,Physical Health
10573,Alabama,Tuscaloosa,Health Outcomes,Stroke among adults aged >=18 Years,%,AgeAdjPrv,4.2,90468.0,Stroke
10574,Alabama,Tuscaloosa,Health Outcomes,Stroke among adults aged >=18 Years,%,CrdPrv,3.2,90468.0,Stroke
10649,Alaska,Anchorage,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,AgeAdjPrv,15.2,291826.0,Health Insurance
10650,Alaska,Anchorage,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,15.1,291826.0,Health Insurance
